parcellation_index,organ,category,division,structure,substructure
261,brain,grey,Isocortex,VISpl,VISpl2/3
263,brain,grey,MB,SAG,SAG
264,brain,grey,HY,AVPV,AVPV
265,brain,grey,Isocortex,RSPd,RSPd6a
270,brain,grey,Isocortex,RSPagl,RSPagl6b
271,brain,grey,P,B,B
272,brain,grey,Isocortex,VISam,VISam1
276,brain,grey,HY,SCH,SCH
277,brain,grey,PAL,BAC,BAC
278,brain,grey,Isocortex,ORBvl,ORBvl2/3
279,brain,grey,Isocortex,TEa,TEa5
282,brain,grey,STR,BA,BA
286,brain,grey,Isocortex,ACAv,ACAv2/3
288,brain,grey,PAL,MA,MA
291,brain,fiber tracts,mfbs,mfbc,st
293,brain,grey,CTXsp,BLA,BLAa
294,brain,grey,Isocortex,PL,PL2/3
295,brain,grey,Isocortex,VISp,VISp6b
297,brain,grey,MY,MARN,MARN
300,brain,grey,STR,SF,SF
301,brain,grey,CTXsp,BLA,BLAp
303,brain,grey,MB,MB-unassigned,MB-unassigned
304,brain,grey,Isocortex,AIp,AIp6a
308,brain,grey,P,SG,SG
310,brain,grey,Isocortex,MOp,MOp1
311,brain,grey,TH,SubG,SubG
315,brain,grey,TH,SGN,SGN
316,brain,fiber tracts,cbf,cbp,scp
317,brain,grey,CTXsp,BMA,BMAa
318,brain,grey,Isocortex,AId,AId2/3
320,brain,grey,Isocortex,RSPd,RSPd6b
322,brain,grey,HY,ASO,ASO
323,brain,grey,STR,SH,SH
324,brain,grey,CTXsp,BMA,BMAp
325,brain,grey,Isocortex,PERI,PERI6a
326,brain,fiber tracts,cm,IIn,csc
328,brain,grey,HY,SFO,SFO
332,brain,grey,PAL,SI,SI
334,brain,grey,Isocortex,AIp,AIp5
337,brain,grey,HY,SBPV,SBPV
339,brain,fiber tracts,mfbs,mfsbshy,sup
340,brain,grey,P,SLC,SLC
341,brain,grey,PAL,BST,BST
344,brain,grey,MY,MY-unassigned,MY-unassigned
345,brain,grey,Isocortex,AIp,AIp6b
346,brain,grey,HY,PST,PST
348,brain,grey,P,SLD,SLD
352,brain,grey,TH,MD,MD
353,brain,grey,Isocortex,PL,PL5
354,brain,grey,HY,PSTN,PSTN
356,brain,grey,TH,SMT,SMT
358,brain,grey,Isocortex,PERI,PERI6b
362,brain,grey,MY,ICB,ICB
364,brain,grey,MB,SNc,SNc
367,brain,grey,Isocortex,VISpl,VISpl6a
370,brain,fiber tracts,cm,drt,cuf
371,brain,grey,MB,SNr,SNr
372,brain,grey,HPF,CA1,CA1-unassigned
380,brain,grey,HY,SO,SO
381,brain,grey,HPF,CA1,CA1slm
383,brain,grey,Isocortex,VISpl,VISpl6b
387,brain,fiber tracts,eps,rust,vtd
389,brain,grey,HPF,CA1,CA1so
391,brain,grey,Isocortex,VISam,VISam4
393,brain,grey,STR,MEA,MEA
397,brain,grey,HPF,CA1,CA1sp
402,brain,grey,Isocortex,ORBl,ORBl2/3
403,brain,fiber tracts,cm,VIIIn,vVIIIn
404,brain,grey,TH,SPFm,SPFm
405,brain,grey,HPF,CA1,CA1sr
411,brain,grey,Isocortex,VISl,VISl1
412,brain,grey,TH,SPFp,SPFp
