parcellation_index,organ,category,division,structure,substructure
670,brain,grey,Isocortex,ORBvl,ORBvl6b
671,brain,fiber tracts,mfbs,mfsbshy,mtg
675,brain,grey,TH,VM,VM
677,brain,grey,Isocortex,RSPv,RSPv5
679,brain,grey,HY,VLPO,VLPO
680,brain,fiber tracts,mfbs,mfsbshy,mtt
682,brain,grey,Isocortex,PERI,PERI5
683,brain,grey,HY,VMH,VMH
684,brain,grey,Isocortex,AIv,AIv2/3
686,brain,grey,Isocortex,AUDpo,AUDpo1
687,brain,fiber tracts,cm,drt,ml
688,brain,grey,OLF,OLF-unassigned,OLF-unassigned
689,brain,grey,Isocortex,AIv,AIv6b
692,brain,grey,Isocortex,SSp-n,SSp-n5
693,brain,grey,CTXsp,CTXsp-unassigned,CTXsp-unassigned
694,brain,grey,Isocortex,AIv,AIv1
696,brain,grey,MB,OP,OP
697,brain,grey,Isocortex,ILA,ILA1
701,brain,grey,MY,CU,CU
708,brain,grey,TH,VPL,VPL
711,brain,grey,Isocortex,VISp,VISp4
715,brain,grey,TH,VPLpc,VPLpc
717,brain,grey,HPF,ENTm,ENTm5
718,brain,fiber tracts,cbf,arb,arb
719,brain,grey,Isocortex,TEa,TEa6a
722,brain,grey,HY,MM,MMme
723,brain,grey,TH,VPM,VPM
725,brain,grey,Isocortex,AUDp,AUDp1
731,brain,grey,TH,VPMpc,VPMpc
733,brain,grey,HPF,ENTm,ENTm6
734,brain,fiber tracts,cbf,cbc,cbc
739,brain,grey,MB,VTA,VTA
740,brain,grey,Isocortex,VISpl,VISpl1
743,brain,fiber tracts,mfbs,mfsbshy,pm
744,brain,grey,STR,OT,OT
745,brain,grey,Isocortex,AUDv,AUDv2/3
747,brain,grey,MB,VTN,VTN
749,brain,grey,Isocortex,AUDpo,AUDpo4
753,brain,grey,HY,OV,OV
755,brain,grey,MY,x,x
757,brain,grey,Isocortex,MOs,MOs5
761,brain,grey,P,P-unassigned,P-unassigned
762,brain,grey,Isocortex,ACAv,ACAv5
763,brain,grey,MY,XII,XII
764,brain,grey,Isocortex,RSPagl,RSPagl5
768,brain,grey,Isocortex,VISp,VISp5
770,brain,grey,CTXsp,PA,PA
771,brain,grey,MY,y,y
773,brain,grey,Isocortex,AId,AId6a
774,brain,fiber tracts,lfbs,cst,cst-unassigned
776,brain,grey,Isocortex,TEa,TEa6b
778,brain,grey,OLF,PAA,PAA
781,brain,grey,Isocortex,AUDpo,AUDpo5
784,brain,fiber tracts,cm,Vn,sV
785,brain,grey,MB,PAG,PAG-unassigned
787,brain,grey,HY,ZI,ZI-unassigned
788,brain,fiber tracts,cm,VIIn,VIIn-unassigned
790,brain,grey,Isocortex,AIv,AIv5
792,brain,fiber tracts,mfbs,mfsbshy,sm
793,brain,grey,PAL,PAL-unassigned,PAL-unassigned
794,brain,grey,HY,ZI,FF
795,brain,grey,Isocortex,VISpm,VISpm1
796,brain,grey,Isocortex,SSs,SSs2/3
800,brain,grey,Isocortex,ACAv,ACAv6a
801,brain,grey,MB,IC,ICc
802,brain,fiber tracts,cbf,cbp,scp
